source_id,ra,dec,phot_g_mean_mag,redshift
4970282115100167808,33.592630,-32.990566,19.4,1.96
4970280740710611968,33.658119,-33.046372,19.4,2.22
4970147699803929984,33.793566,-34.089900,19.1,2.25
4970250748956706304,33.824449,-33.407622,18.4,0.54
4970147218767594880,33.866848,-34.077352,19.4,0.53
4969959442796824704,33.922826,-34.091275,19.7,1.77
4970657907558425984,33.986138,-32.821314,18.3,1.91
4970668185418125056,34.016963,-32.646677,19.8,1.93
4970657014205224448,34.041084,-32.826700,19.2,0.77
4970208452118800512,34.173953,-33.383959,18.4,0.50
4969882133385846784,34.226321,-34.647044,19.2,1.63
4700828476972843136,34.284591,-63.455420,19.7,2.07
4969945492743491200,34.319198,-34.243052,19.7,0.72
4969998372380653312,34.498419,-33.688371,19.6,1.80
4970595544633757696,34.512858,-33.015375,19.4,2.14
4969922231200292992,34.530333,-34.163525,18.5,1.59
4970624647332234880,34.573534,-32.798453,19.7,2.51
4969971434345684736,34.594447,-34.044293,19.9,1.94
4969983872571029248,34.621662,-33.856019,19.6,0.93
4970373305845782656,34.639825,-33.633998,19.3,1.91
4970380383952003840,34.694714,-33.423779,19.0,1.76
4970380487031228672,34.695230,-33.407622,18.7,0.42
4969930958573903360,34.718721,-33.996222,18.1,1.86
4969929962141487360,34.756307,-34.008884,19.1,2.10
4970363448898552960,34.786961,-33.583463,19.9,0.81
4970388905167187968,34.809707,-33.278993,19.5,0.74
4970615198404171008,34.895995,-32.838503,19.8,0.89
4970303761735200896,35.019696,-33.935373,19.9,1.93
4970395403455227904,35.064788,-33.373875,18.1,0.76
4966874281889107584,35.133772,-34.799967,19.5,1.76
4966874041370928768,35.176572,-34.830219,19.8,1.85
4970418866858644096,35.179952,-33.029298,19.6,0.38
4970299569847137920,35.220461,-33.883693,19.0,1.92
4966580712284474368,35.352241,-35.577642,19.4,0.72
4967290172162339328,35.418589,-34.107032,19.1,2.35
4970325275229274624,35.461389,-33.722004,18.7,1.86
4967266120345662592,35.532780,-34.344981,19.8,1.75
4966816866766080000,35.608181,-34.918512,20.0,2.53
4966811923260465920,35.669488,-35.056365,19.4,2.45
4966564838085185792,35.693093,-35.793705,19.8,1.89
4966568755095506816,35.766833,-35.601535,19.6,2.32
4966519311431829376,35.813071,-35.819946,19.7,1.88
4700488075045412992,36.186811,-62.917183,19.5,1.61
4700385579945569024,36.205719,-63.491516,19.1,2.06
4966930876674779392,36.220444,-35.324796,18.6,2.28
4701240106638609024,36.232419,-62.763172,19.7,1.74
4966981140675691776,36.264504,-35.162878,19.7,1.59
4701342051982408576,36.428370,-62.458358,19.9,0.52
4701465231644402176,36.433985,-61.498368,19.2,1.89
4701336043323939712,36.550639,-62.634085,19.6,0.93
4965753501583169024,36.608565,-36.176269,19.6,2.29
4967330716653475456,36.613264,-34.103651,19.8,1.87
4725702488010016256,36.642771,-60.905127,18.9,2.50
4967137305686172800,36.682248,-34.340283,18.7,1.72
4700471754169649152,36.760915,-63.022149,20.0,2.40
4966967465499494272,36.775583,-34.870784,19.8,1.72
4701349817283312896,36.790136,-62.323198,19.4,2.37
4725687782041969408,36.796496,-61.086984,19.7,2.15
4737829139191886592,36.805033,-59.797600,18.9,1.79
4966167776948650752,36.861584,-35.406786,20.1,1.60
4701395137778403584,36.894815,-61.859847,19.5,2.47
4965456221126859392,36.942027,-37.129269,19.5,2.29
4967121912523296896,36.954174,-34.433045,19.4,0.68
4700200071717834368,37.007860,-63.745107,18.9,2.32
4966150223419438976,37.010209,-35.586466,18.1,0.30
4966150223419438976,37.010209,-35.586466,18.1,0.30
4701392320279836416,37.093402,-61.919721,19.0,0.83
4701346969720733696,37.094892,-62.373847,19.5,2.30
4966200659218373504,37.142333,-35.135319,19.5,1.73
4725717228337917568,37.144281,-60.534653,19.2,2.51
4967054704874925952,37.159235,-34.701017,18.9,1.73
4738272311097064704,37.160266,-58.038562,20.1,1.64
4965441549518563712,37.210859,-37.170522,18.9,0.22
4700592361145974016,37.261222,-62.450509,20.0,2.39
4966170731886095488,37.264487,-35.505908,19.2,0.90
4738708512272071424,37.290557,-57.541865,19.5,1.67
4700208799091355136,37.383032,-63.581642,18.0,0.33
4738735308571916800,37.510516,-57.107219,20.0,1.66
4700204813361693824,37.525756,-63.629599,19.4,2.23
4738715483002791296,37.540309,-57.414726,18.6,1.73
4700621940586423808,37.548216,-62.243270,18.9,1.70
4965852217111554816,37.599152,-36.748310,19.6,2.29
4725902603421549568,37.770352,-59.763509,19.9,0.79
4738713150836789248,37.773560,-57.435008,18.6,2.91
4965904860527124096,37.826101,-36.193744,17.8,0.30
4725482035928489344,37.834810,-61.268841,19.1,3.39
4966114553714307968,37.836930,-35.591451,19.2,1.89
4965918119089580288,37.905226,-35.909385,19.4,2.49
4700601294678602624,37.913992,-62.426674,19.4,2.35
4737970739968531456,37.925050,-59.008007,20.0,0.81
4965907678025648000,37.942812,-36.044718,19.3,1.98
4700613797327717120,38.017297,-62.215997,19.2,1.74
4724649877425219072,38.051044,-62.006868,18.5,2.25
4965903791078670208,38.105188,-35.957571,19.2,0.72
4738765613860721792,38.113611,-56.866806,18.8,2.34
4700503227689475200,38.124153,-63.067986,20.0,2.18
4700547624767291136,38.146900,-62.699917,19.7,2.00
4966212723783107840,38.177037,-35.462249,18.8,1.87
4738746239264938496,38.209180,-57.128304,19.6,2.16
4700283222284742400,38.327210,-63.637047,19.5,1.71
4725954551051005952,38.332825,-59.218912,18.6,1.75
4725906275618425728,38.371728,-59.667137,20.1,1.82
4725962178912343936,38.376828,-59.086559,18.9,1.68
4725930056852161920,38.394647,-59.612362,19.6,2.42
4953765663744622592,38.518979,-37.046534,19.5,0.90
4738794823934845184,38.601484,-57.008040,19.5,1.86
4725956818793741056,38.606412,-59.202927,19.2,0.54
4953804322746400128,38.616840,-36.804975,19.7,1.57
4953818165424665728,38.633685,-36.504917,19.3,1.64
4953813698658664832,38.682042,-36.609883,19.0,2.53
4738350445142600704,38.684964,-58.837322,19.3,0.70
4953679180283435904,38.711951,-37.790176,18.8,2.16
4738476923339397760,38.730400,-57.734722,19.2,1.70
4953681658480519040,38.731374,-37.722338,19.3,2.39
4725946613950844800,38.736531,-59.189004,20.0,1.77
4953493191019137920,38.805744,-37.780722,19.2,0.34
4738463797919327872,38.809239,-57.813619,18.7,1.63
4953485941114743936,38.821787,-38.002572,19.0,0.89
4724637439199916160,38.878280,-62.033281,19.6,1.89
4953911005438029184,38.902345,-36.366548,18.9,1.79
4725867930150384768,38.929904,-59.712859,20.2,0.51
4738879241516074496,39.014301,-56.513062,19.1,1.80
4738877935845961600,39.017280,-56.578436,19.9,1.80
4953483501572867584,39.154331,-37.852285,19.9,1.87
4953396816249061632,39.414913,-38.633398,19.1,0.50
4725680051100935808,39.420642,-59.833639,19.6,2.11
4953409834293711872,39.459603,-38.378375,19.9,2.18
4726249632484182528,39.611781,-59.531690,18.7,0.94
4953462679571464192,39.633611,-37.807136,19.3,0.51
4726253931747026304,39.658993,-59.372752,20.1,2.40
4738821040415325184,39.722820,-56.652634,17.5,2.14
4738522106394907648,39.748775,-57.604031,19.2,1.90
4953610770044248832,39.828302,-37.369740,19.7,0.89
